date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:09	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:09%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:09	5388/5388	---M--	200	added ('OK')	font/woff2	date:Fri,%2019%20Apr%202024%2010:20:09%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-700.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:12	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:12%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:12	7848/7848	---M--	200	added ('OK')	font/woff2	date:Fri,%2019%20Apr%202024%2010:20:11%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:14	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:14%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:15	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2019%20Apr%202024%2010:20:14%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:17	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:17%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:19	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2019%20Apr%202024%2010:20:17%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:19	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Apr%202024%2010:20:19%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.18.delayed	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:19%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://bodhi-space-j5vd.b12sites.com/index)
